City_ID,City Name,Latitude,Longitude,Temperature,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country
192,Kalabo,-14.97,22.6814,68.77,68.77,68.77,81,86,5.21,ZM
193,Labasa,-16.4167,179.3833,84.74,84.74,84.74,71,95,7.74,FJ
194,Inarajan Village,13.2736,144.7484,85.84,86.99,85.78,81,69,16.11,GU
195,Guider,9.9342,13.9486,68.18,68.18,68.18,30,46,2.73,CM
196,Kangding,30.0513,101.9603,45.95,45.95,45.95,52,33,2.84,CN
197,Touros,-5.1989,-35.4608,77.2,77.2,77.2,83,34,8.99,BR
198,General Villegas,-35.0328,-63.0125,51.28,51.28,51.28,42,14,8.12,AR
199,Lebu,-37.6167,-73.65,54.45,54.45,54.45,86,4,16.8,CL
200,Yangambi,0.8102,24.4336,67.05,67.05,67.05,92,30,1.03,CD
201,Holualoa,19.6228,-155.9522,75.78,76.84,72.25,69,20,11.5,US
202,Halych,49.1218,24.7258,33.71,33.71,33.71,99,100,1.23,UA
203,Pınarbaşı,38.7229,36.3931,29.97,29.97,29.97,93,40,7.18,TR
204,Mīzan Teferī,6.9833,35.5833,59.2,59.2,59.2,60,17,3.76,ET
205,Shiguai,40.7058,110.2856,20.3,20.3,20.3,25,0,4.36,CN
206,Sydney,-33.8679,151.2073,72.93,76.33,71.38,80,75,18.41,AU
207,Dakhla,23.6848,-15.958,67.37,67.37,67.37,38,100,11.16,EH
208,Giado,31.9582,12.0203,53.62,53.62,53.62,53,41,18.14,LY
209,Lucheng,31.2336,117.2806,46.11,46.11,46.11,34,1,7.02,CN
210,Teknāf,20.8624,92.3058,75.38,75.38,75.38,40,83,2.59,BD
211,Whitehorse,60.7161,-135.0538,3.31,3.97,3.31,91,0,5.75,CA
212,Santokhgarh,31.3667,76.3167,59.34,59.34,59.34,27,0,3.98,IN
213,Al Khārijah,25.4514,30.5464,60.17,60.17,60.17,39,100,6.49,EG
214,Yanam,16.7333,82.2167,81.18,81.18,81.18,61,100,3.06,IN
215,Baukau,51.5526,7.2042,43.16,43.95,42.17,86,100,9.04,DE
216,Bentiu,9.2333,29.8333,74.86,74.86,74.86,38,54,2.46,SS
217,Breckenridge,32.7557,-98.9023,46.6,46.6,46.6,100,100,3.44,US
218,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,32.59,32.59,69,75,6.71,RU
219,Wailua Homesteads,22.0669,-159.378,73.13,74.19,73.13,86,75,6.91,US
220,Williams Lake,52.1415,-122.1445,31.05,35.17,31.05,99,40,2.3,CA
221,Kingston,17.997,-76.7936,79.75,79.75,75.16,83,40,6.91,JM
222,Itamaracá,-7.7478,-34.8256,77.2,77.2,77.2,82,40,6.78,BR
223,Mata-Utu,-13.2816,-176.1745,83.59,83.59,83.59,75,90,9.06,WF
224,Dryden,49.7833,-92.7503,30.49,30.49,30.49,86,100,8.05,CA
225,Kudymkar,59.0173,54.656,11.17,11.17,11.17,92,53,6.55,RU
226,Umm Hājar,13.2954,19.6966,68.4,68.4,68.4,24,62,9.73,TD
227,Belūr,13.1667,75.8667,73.29,73.29,73.29,75,97,3.76,IN
228,Hasaki,35.7333,140.8333,50.95,50.95,50.95,46,28,14.81,JP
229,Saint Paul Harbor,57.79,-152.4072,33.31,33.31,33.31,100,100,0.0,US
230,Mamuju,-2.6748,118.8885,86.88,86.88,86.88,61,83,4.81,ID
231,Tura,25.5198,90.2201,72.18,72.18,72.18,57,5,2.55,IN
232,Nizhniy Odes,63.6445,54.856,-0.42,-0.42,-0.42,99,100,4.97,RU
233,Taltal,-25.4,-70.4833,62.85,62.85,62.85,77,0,1.21,CL
234,Yarmouth,41.7057,-70.2286,27.16,31.6,26.71,78,100,0.0,US
235,Molchanovo,57.5817,83.7692,6.37,6.37,6.37,93,97,7.54,RU
236,Nang Rong,14.6377,102.7914,76.35,76.35,76.35,65,99,14.05,TH
237,Clorinda,-25.2848,-57.7185,70.02,70.21,69.96,99,100,1.99,AR
238,São José da Coroa Grande,-8.8978,-35.1478,76.15,76.15,76.15,83,67,6.04,BR
239,Usogorsk,63.4106,48.6872,10.63,10.63,10.63,96,99,4.5,RU
240,Krasnoshchekovo,51.6708,82.7289,16.7,16.7,16.7,94,100,8.25,RU
241,Aswān,24.0934,32.907,60.1,60.1,60.1,47,0,6.91,EG
242,Santa Barbara,34.7333,-120.0343,46.96,46.96,46.96,76,0,3.44,US
243,Greenwood,34.1668,-82.1165,37.2,40.82,36.81,69,0,1.99,US
244,Geraldton,-28.7667,114.6,81.01,81.01,81.01,54,0,18.41,AU
245,Guerrero Negro,27.9769,-114.0611,61.56,61.56,61.56,80,0,6.73,MX
246,La Passe,45.5549,-0.8967,48.06,48.06,48.06,66,61,30.2,FR
247,Glace Bay,46.1969,-59.957,21.36,23.14,19.98,77,66,8.99,CA
248,Pelabuhanratu,-6.9875,106.5514,87.12,87.12,87.12,71,85,5.5,ID
249,Glendive,47.1053,-104.7125,44.22,44.22,44.22,49,0,3.44,US
250,Saint-Pierre,-21.3393,55.4781,82.08,82.08,82.08,61,0,5.75,RE
251,Nyurba,63.2842,118.3319,-8.21,-8.21,-8.21,96,97,6.8,RU
252,Wysokie Mazowieckie,52.9166,22.5171,34.12,34.12,34.12,98,100,4.38,PL
253,Khujner,23.7833,76.6,68.31,68.31,68.31,49,7,3.38,IN
254,Ojinaga,29.5667,-104.4167,52.75,52.75,52.57,71,0,3.44,MX
255,Nakhon Phanom,17.3333,104.4167,80.4,80.4,80.4,44,31,14.5,TH
256,Tondi,9.7333,79.0167,81.77,81.77,81.77,73,95,9.46,IN
257,Basoko,1.2391,23.616,68.32,68.32,68.32,91,43,1.07,CD
258,Taroudant,30.4703,-8.877,56.41,56.41,56.41,46,93,1.52,MA
259,Selfoss,63.9331,-20.9971,29.32,29.32,29.32,93,100,9.26,IS
260,Kumul,42.8,93.45,26.94,26.94,26.94,64,0,1.34,CN
261,Launceston,-41.45,147.1667,64.04,64.04,64.04,42,75,21.85,AU
262,Sayanogorsk,53.0875,91.3997,27.72,27.72,27.72,82,100,4.34,RU
263,Al Mijlad,11.0333,27.7333,73.78,73.78,73.78,38,13,10.71,SD
264,Kharp,66.8014,65.8081,2.91,2.91,2.91,93,30,8.25,RU
265,Nuuk,64.1835,-51.7216,34.41,34.41,32.88,60,40,52.93,GL
266,San Sebastián de La Gomera,28.0916,-17.1133,68.36,68.36,68.36,59,0,0.0,ES
267,Ixtapa,20.7,-105.2,72.63,76.23,72.63,88,75,2.3,MX
268,Kenai,60.5544,-151.2583,34.02,35.15,33.85,91,100,5.75,US
269,Mil’kovo,55.6078,37.7956,28.96,30.34,27.91,62,100,10.25,RU
270,Butembo,0.15,29.2833,54.45,54.45,54.45,70,2,2.62,CD
271,Richfield,44.8833,-93.283,37.99,40.23,35.85,77,20,5.75,US
272,Praia da Vitória,38.7333,-27.0667,62.85,62.85,62.85,94,40,8.77,PT
273,Cologne,50.9333,6.95,42.28,43.45,40.95,91,100,11.5,DE
274,Fort St. John,56.2499,-120.8529,30.09,30.09,30.09,93,100,6.91,CA
275,Kimamba,-6.7833,37.1333,71.76,71.76,71.76,96,84,2.24,TZ
276,Buenaventura,3.8801,-77.0312,72.91,72.91,72.91,96,64,1.01,CO
277,Batamshinskiy,50.5594,58.2747,4.6,4.6,4.6,84,14,3.22,KZ
278,Umm Kaddadah,13.6017,26.6876,70.97,70.97,70.97,29,81,14.27,SD
279,Galliano,29.4422,-90.2992,55.4,55.4,55.4,76,0,3.44,US
280,Torghay,49.6339,63.4981,15.08,15.08,15.08,76,14,7.29,KZ
281,Thohoyandou,-22.9456,30.485,66.43,66.43,66.43,92,83,4.9,ZA
282,Samcheok,37.4406,129.1708,40.55,40.55,40.55,25,0,3.94,KR
283,Nouadhibou,20.931,-17.0347,69.78,69.78,69.78,28,99,17.27,MR
284,Mount Gambier,-37.8333,140.7667,65.01,65.01,65.01,47,5,10.98,AU
285,Metlili Chaamba,32.2667,3.6333,59.94,59.94,59.94,41,0,10.36,DZ
286,Bata,1.8639,9.7658,76.86,76.86,76.86,100,40,2.3,GQ
287,Calatagan,13.8833,120.65,85.69,85.69,85.69,71,99,17.98,PH
288,Porto Seguro,-16.4497,-39.0647,77.52,77.52,77.52,94,0,3.44,BR
289,Gemena,3.25,19.7667,70.79,70.79,70.79,58,25,0.83,CD
290,Kodinsk,58.6881,99.1844,16.54,16.54,16.54,94,100,4.61,RU
291,Slavutych,51.5196,30.7343,32.2,32.2,32.2,89,100,13.0,UA
292,Carnarvon,-24.8667,113.6333,77.74,77.74,77.74,68,12,18.9,AU
293,West Hattiesburg,31.3191,-89.3751,47.71,48.81,45.55,82,0,0.0,US
294,Vernon,50.2581,-119.2691,33.73,33.93,33.33,79,90,8.05,CA
295,Labrador City,52.9463,-66.9114,1.31,1.31,1.31,78,40,8.05,CA
296,Machico,32.7,-16.7667,65.68,68.72,65.03,90,75,13.8,PT
297,Kostomuksha,64.571,30.5767,25.21,25.21,25.21,89,100,5.73,RU
298,Yanbu,24.0891,38.0637,68.04,68.04,68.04,83,20,2.3,SA
299,Jiayuguan City,39.8167,98.3,23.76,23.76,23.76,46,90,4.03,CN
300,Laguna,38.421,-121.4238,53.6,54.97,51.08,84,0,6.91,US
301,Vorgashor,67.5833,63.95,2.14,2.14,2.14,97,100,10.67,RU
302,Galle,6.0367,80.217,82.92,82.92,82.92,83,97,1.01,LK
303,Sambava,-14.2667,50.1667,78.57,78.57,78.57,73,98,7.74,MG
304,Fortuna,40.5982,-124.1573,53.83,54.93,51.98,98,100,6.91,US
305,St. John's,47.5649,-52.7093,28.27,29.97,27.28,88,100,16.11,CA
306,San Fernando de Apure,7.8878,-67.4724,78.22,78.22,78.22,60,57,5.37,VE
307,Woolgoolga,-30.1106,153.2007,90.95,90.95,87.67,68,7,3.6,AU
308,Kishkenekol',53.6364,72.3414,0.55,0.55,0.55,98,96,7.81,KZ
309,Asadābād,34.7824,48.1185,38.57,38.57,38.57,37,98,2.28,IR
310,Fale old settlement,-9.3852,-171.2468,82.83,82.83,82.83,78,95,13.56,TK
311,Fīrūzābād,28.8438,52.5707,52.54,52.54,52.54,28,7,4.88,IR
312,Shenjiamen,29.9576,122.298,50.86,50.86,50.86,53,5,18.75,CN
313,Garissa,-0.4536,39.6401,76.71,76.71,76.71,83,14,6.06,KE
314,Garachiko,28.7781,-17.7646,66.31,66.31,66.31,73,100,8.05,ES
315,Shawano,44.7822,-88.609,44.58,44.58,42.8,49,0,6.91,US
316,Kirensk,57.7853,108.1119,18.72,18.72,18.72,95,100,7.27,RU
317,Afif,23.9065,42.9172,59.77,59.77,59.77,33,8,10.2,SA
318,Nizhneangarsk,55.7833,109.55,19.62,19.62,19.62,72,98,1.5,RU
319,Severo-Yeniseyskiy,60.3725,93.0408,4.57,4.57,4.57,97,100,3.4,RU
320,Eyl,7.9803,49.8164,79.21,79.21,79.21,55,2,23.4,SO
321,Whitefish,48.4111,-114.3376,33.84,39.02,32.65,96,100,6.91,US
322,Nadi,-17.8,177.4167,77.0,77.0,77.0,88,100,21.85,FJ
